-0.0,0.1,-0.3,-0.2,1327	
-0.0,0.1,-0.6,-0.5,1999	
-0.0,0.1,-0.9,-0.8,3276	
-0.0,0.1,-1.0,-0.9,3995	
-0.0,0.1,-1.3,-1.2,6566	
-0.0,0.1,-1.6,-1.5,9877	
-0.0,0.1,-1.9,-1.8,14020	
-0.0,0.1,-10.1,-10.0,9	
-0.0,0.1,-10.6,-10.5,2	
-0.0,0.1,-2.2,-2.1,18421	
-0.0,0.1,-2.5,-2.4,21895	
-0.0,0.1,-2.9,-2.8,24466	
-0.0,0.1,-3.2,-3.1,23971	
-0.0,0.1,-3.5,-3.4,21883	
-0.0,0.1,-3.8,-3.7,19560	
-0.0,0.1,-4.2,-4.1,16123	
-0.0,0.1,-4.5,-4.4,15722	
-0.0,0.1,-4.8,-4.7,16620	
-0.0,0.1,-5.2,-5.1,19896	
-0.0,0.1,-5.5,-5.4,22508	
-0.0,0.1,-5.8,-5.7,24044	
-0.0,0.1,-6.2,-6.1,22851	
-0.0,0.1,-6.5,-6.4,20651	
-0.0,0.1,-6.8,-6.7,16485	
-0.0,0.1,-7.1,-7.0,12344	
-0.0,0.1,-7.2,-7.1,11000	
-0.0,0.1,-7.5,-7.4,7299	
-0.0,0.1,-7.8,-7.7,4208	
-0.0,0.1,-8.1,-8.0,2255	
-0.0,0.1,-8.4,-8.3,1124	
-0.0,0.1,-8.7,-8.6,524	
-0.0,0.1,-9.1,-9.0,154	
-0.0,0.1,-9.4,-9.3,65	
-0.0,0.1,-9.7,-9.6,24	
-0.0,0.1,-10.0,-9.9,2	
-0.0,0.1,0.1,0.2,1118	
-0.0,0.1,0.4,0.5,1392	
-0.0,0.1,0.7,0.8,2387	
-0.0,0.1,1.0,1.1,3980	
-0.0,0.1,1.3,1.4,6549	
-0.0,0.1,1.6,1.7,9925	
-0.0,0.1,1.9,2.0,14183	
-0.0,0.1,10.2,10.3,3	
-0.0,0.1,10.5,10.6,1	
-0.0,0.1,2.0,2.1,15741	
-0.0,0.1,2.3,2.4,19700	
-0.0,0.1,2.6,2.7,23017	
-0.0,0.1,2.9,3.0,24567	
-0.0,0.1,3.2,3.3,23954	
-0.0,0.1,3.5,3.6,22188	
-0.0,0.1,3.8,3.9,19240	
-0.0,0.1,4.2,4.3,16393	
-0.0,0.1,4.5,4.6,15526	
-0.0,0.1,4.8,4.9,16831	
-0.0,0.1,5.1,5.2,19158	
-0.0,0.1,5.4,5.5,21647	
-0.0,0.1,5.7,5.8,23693	
-0.0,0.1,6.0,6.1,24083	
-0.0,0.1,6.3,6.4,22450	
-0.0,0.1,6.6,6.7,19422	
-0.0,0.1,6.9,7.0,15179	
-0.0,0.1,7.0,7.1,13729	
-0.0,0.1,7.3,7.4,9550	
-0.0,0.1,7.6,7.7,6143	
-0.0,0.1,7.9,8.0,3628	
-0.0,0.1,8.2,8.3,1896	
-0.0,0.1,8.5,8.6,943	
-0.0,0.1,8.8,8.9,379	
-0.0,0.1,9.2,9.3,130	
-0.0,0.1,9.5,9.6,47	
-0.0,0.1,9.8,9.9,14	
-0.0,0.1,10.0,10.1,1	
-0.1,0.0,-0.4,-0.3,1530	
-0.1,0.0,-0.7,-0.6,2388	
-0.1,0.0,-1.1,-1.0,4629	
-0.1,0.0,-1.4,-1.3,7420	
-0.1,0.0,-1.7,-1.6,11125	
-0.1,0.0,-10.0,-9.9,8	
-0.1,0.0,-10.1,-10.0,4	
-0.1,0.0,-2.1,-2.0,16909	
